step,resource,price,prev_price,inventory
18,TOMATO,60,60,9999
18,STRAWBERRY,128,128,9999
18,MELON,256,256,9999
18,EGG,50,50,9999
18,MILK,169,169,9999
18,WOOL,206,206,9999
18,FERTILIZER,100,100,10000
19,WHEAT,26,26,9999
19,CARROT,35,35,9999
19,TOMATO,60,60,9999
19,STRAWBERRY,128,128,9999
19,MELON,256,256,9999
19,EGG,50,50,9999
19,MILK,169,169,9999
19,WOOL,206,206,9999
19,FERTILIZER,100,100,10000
20,WHEAT,26,26,9999
20,CARROT,35,35,9999
20,TOMATO,60,60,9999
20,STRAWBERRY,128,128,9999
20,MELON,256,256,9999
20,EGG,50,50,9999
20,MILK,169,169,9999
20,WOOL,206,206,9999
20,FERTILIZER,100,100,10000
21,WHEAT,26,26,9999
21,CARROT,35,35,9999
21,TOMATO,60,60,9999
21,STRAWBERRY,128,128,9999
21,MELON,256,256,9999
21,EGG,50,50,9999
21,MILK,169,169,9999
21,WOOL,206,206,9999
21,FERTILIZER,100,100,10000
22,WHEAT,26,26,9999
22,CARROT,35,35,9999
22,TOMATO,60,60,9999
22,STRAWBERRY,128,128,9999
22,MELON,256,256,9999
22,EGG,50,50,9999
22,MILK,169,169,9999
22,WOOL,206,206,9999
22,FERTILIZER,100,100,10000
23,WHEAT,26,26,9999
23,CARROT,35,35,9999
23,TOMATO,60,60,9999
23,STRAWBERRY,128,128,9999
23,MELON,256,256,9999
23,EGG,50,50,9999
23,MILK,169,169,9999
23,WOOL,206,206,9999
23,FERTILIZER,100,100,10000
24,WHEAT,26,26,9999
24,CARROT,35,35,9999
24,TOMATO,60,60,9999
24,STRAWBERRY,128,128,9999
24,MELON,256,256,9999
24,EGG,50,50,9999
24,MILK,169,169,9999
24,WOOL,206,206,9999
24,FERTILIZER,100,100,10000
25,WHEAT,26,26,9998
25,CARROT,35,35,9998
25,TOMATO,60,60,9998
25,STRAWBERRY,132,128,9998
25,MELON,260,256,9998
25,EGG,50,50,9998
25,MILK,172,169,9998
25,WOOL,209,206,9998
25,FERTILIZER,100,100,10000
26,WHEAT,26,26,9998
26,CARROT,35,35,9998
26,TOMATO,60,60,9998
26,STRAWBERRY,132,132,9998
26,MELON,260,260,9998
26,EGG,50,50,9998
26,MILK,172,172,9998
26,WOOL,209,209,9998
26,FERTILIZER,100,100,10000
27,WHEAT,26,26,9998
27,CARROT,35,35,9998
27,TOMATO,60,60,9998
27,STRAWBERRY,132,132,9998
27,MELON,260,260,9998
27,EGG,50,50,9998
27,MILK,172,172,9998
27,WOOL,209,209,9998
27,FERTILIZER,100,100,10000
28,WHEAT,26,26,9998
28,CARROT,35,35,9998
28,TOMATO,60,60,9998
28,STRAWBERRY,132,132,9998
28,MELON,260,260,9998
28,EGG,50,50,9998
28,MILK,172,172,9998
28,WOOL,209,209,9998
28,FERTILIZER,100,100,10000
29,WHEAT,26,26,9998
29,CARROT,35,35,9998
29,TOMATO,60,60,9998
29,STRAWBERRY,132,132,9998
29,MELON,260,260,9998
29,EGG,50,50,9998
29,MILK,172,172,9998
29,WOOL,209,209,9998
29,FERTILIZER,100,100,10000
30,WHEAT,26,26,9998
30,CARROT,35,35,9998
30,TOMATO,60,60,9998
30,STRAWBERRY,132,132,9998
30,MELON,260,260,9998
30,EGG,50,50,9998
30,MILK,172,172,9998
30,WOOL,209,209,9998
30,FERTILIZER,100,100,10000
31,WHEAT,26,26,9998
31,CARROT,35,35,9998
31,TOMATO,60,60,9998
31,STRAWBERRY,132,132,9998
31,MELON,260,260,9998
31,EGG,50,50,9998
31,MILK,172,172,9998
31,WOOL,209,209,9998
31,FERTILIZER,100,100,10000
32,WHEAT,26,26,9998
32,CARROT,35,35,9998
32,TOMATO,60,60,9998
32,STRAWBERRY,132,132,9998
32,MELON,260,260,9998
32,EGG,50,50,9998
32,MILK,172,172,9998
32,WOOL,209,209,9998
32,FERTILIZER,100,100,10000
33,WHEAT,26,26,9998
33,CARROT,35,35,9998
33,TOMATO,60,60,9998
33,STRAWBERRY,132,132,9998
33,MELON,260,260,9998
33,EGG,50,50,9998
33,MILK,172,172,9998
33,WOOL,209,209,9998
33,FERTILIZER,100,100,10000
34,WHEAT,26,26,9998
34,CARROT,35,35,9998
34,TOMATO,60,60,9998
34,STRAWBERRY,132,132,9998
34,MELON,260,260,9998
34,EGG,50,50,9998
34,MILK,172,172,9998
34,WOOL,209,209,9998
34,FERTILIZER,100,100,10000
35,WHEAT,26,26,9998
35,CARROT,35,35,9998
35,TOMATO,60,60,9998
35,STRAWBERRY,132,132,9998
35,MELON,260,260,9998
35,EGG,50,50,9998
35,MILK,172,172,9998
35,WOOL,209,209,9998
35,FERTILIZER,100,100,10000
36,WHEAT,26,26,9998
36,CARROT,35,35,9998
36,TOMATO,60,60,9998
36,STRAWBERRY,132,132,9998
36,MELON,260,260,9998
36,EGG,50,50,9998
36,MILK,172,172,9998
36,WOOL,209,209,9998
36,FERTILIZER,100,100,10000
37,WHEAT,26,26,9998
37,CARROT,35,35,9998
37,TOMATO,60,60,9998
37,STRAWBERRY,132,132,9998
37,MELON,260,260,9998
37,EGG,50,50,9998
37,MILK,172,172,9998
37,WOOL,209,209,9998
37,FERTILIZER,100,100,10000
38,WHEAT,26,26,9998
38,CARROT,35,35,9998
38,TOMATO,60,60,9998
38,STRAWBERRY,132,132,9998
38,MELON,260,260,9998
38,EGG,50,50,9998
38,MILK,172,172,9998
38,WOOL,209,209,9998
38,FERTILIZER,100,100,10000
39,WHEAT,26,26,9998
39,CARROT,35,35,9998
39,TOMATO,60,60,9998
39,STRAWBERRY,132,132,9998
39,MELON,260,260,9998
39,EGG,50,50,9998
39,MILK,172,172,9998
39,WOOL,209,209,9998
39,FERTILIZER,100,100,10000
40,WHEAT,26,26,9998
40,CARROT,35,35,9998
40,TOMATO,60,60,9998
40,STRAWBERRY,132,132,9998
40,MELON,260,260,9998
40,EGG,50,50,9998
40,MILK,172,172,9998
40,WOOL,209,209,9998
40,FERTILIZER,100,100,10000
41,WHEAT,26,26,9998
41,CARROT,35,35,9998
41,TOMATO,60,60,9998
41,STRAWBERRY,132,132,9998
41,MELON,260,260,9998
41,EGG,50,50,9998
41,MILK,172,172,9998
41,WOOL,209,209,9998
41,FERTILIZER,100,100,10000
42,WHEAT,26,26,9998
42,CARROT,35,35,9998
42,TOMATO,60,60,9998
42,STRAWBERRY,132,132,9998
42,MELON,260,260,9998
42,EGG,50,50,9998
42,MILK,172,172,9998
42,WOOL,209,209,9998
42,FERTILIZER,100,100,10000
43,WHEAT,26,26,9998
43,CARROT,35,35,9998
43,TOMATO,60,60,9998
43,STRAWBERRY,132,132,9998
43,MELON,260,260,9998
43,EGG,50,50,9998
43,MILK,172,172,9998
43,WOOL,209,209,9998
43,FERTILIZER,100,100,10000
44,WHEAT,26,26,9998
44,CARROT,35,35,9998
44,TOMATO,60,60,9998
44,STRAWBERRY,132,132,9998
44,MELON,260,260,9998
44,EGG,50,50,9998
44,MILK,172,172,9998
44,WOOL,209,209,9998
44,FERTILIZER,100,100,10000
45,WHEAT,26,26,9998
45,CARROT,35,35,9998
45,TOMATO,60,60,9998
45,STRAWBERRY,132,132,9998
45,MELON,260,260,9998
45,EGG,50,50,9998
45,MILK,172,172,9998
45,WOOL,209,209,9998
45,FERTILIZER,100,100,10000
46,WHEAT,26,26,9998
46,CARROT,35,35,9998
46,TOMATO,60,60,9998
46,STRAWBERRY,132,132,9998
46,MELON,260,260,9998
46,EGG,50,50,9998
46,MILK,172,172,9998
46,WOOL,209,209,9998
46,FERTILIZER,100,100,10000
47,WHEAT,26,26,9998
47,CARROT,35,35,9998
47,TOMATO,60,60,9998
47,STRAWBERRY,132,132,9998
47,MELON,260,260,9998
47,EGG,50,50,9998
47,MILK,172,172,9998
47,WOOL,209,209,9998
47,FERTILIZER,100,100,10000
48,WHEAT,26,26,9998
48,CARROT,35,35,9998
48,TOMATO,60,60,9998
48,STRAWBERRY,132,132,9998
48,MELON,260,260,9998
48,EGG,50,50,9998
48,MILK,172,172,9998
48,WOOL,209,209,9998
48,FERTILIZER,100,100,10000
49,WHEAT,27,26,9997
49,CARROT,35,35,9997
49,TOMATO,60,60,9997
49,STRAWBERRY,135,132,9997
49,MELON,262,260,9997
49,EGG,50,50,9997
49,MILK,175,172,9997
49,WOOL,212,209,9997
49,FERTILIZER,100,100,10000
50,WHEAT,27,27,9997
50,CARROT,35,35,9997
50,TOMATO,60,60,9997
50,STRAWBERRY,135,135,9997
50,MELON,262,262,9997
50,EGG,50,50,9997
50,MILK,175,175,9997
50,WOOL,212,212,9997
50,FERTILIZER,100,100,10000
51,WHEAT,27,27,9997
51,CARROT,35,35,9997
51,TOMATO,60,60,9997
51,STRAWBERRY,135,135,9997
51,MELON,262,262,9997
51,EGG,50,50,9997
51,MILK,175,175,9997
51,WOOL,212,212,9997
51,FERTILIZER,100,100,10000
52,WHEAT,27,27,9997
52,CARROT,35,35,9997
52,TOMATO,60,60,9997
52,STRAWBERRY,135,135,9997
52,MELON,262,262,9997
52,EGG,50,50,9997
52,MILK,175,175,9997
52,WOOL,212,212,9997
52,FERTILIZER,100,100,10000
53,WHEAT,27,27,9997
53,CARROT,35,35,9997
53,TOMATO,60,60,9997
53,STRAWBERRY,135,135,9997
53,MELON,262,262,9997
53,EGG,50,50,9997
53,MILK,175,175,9997
53,WOOL,212,212,9997
53,FERTILIZER,100,100,10000
54,WHEAT,27,27,9997
54,CARROT,35,35,9997
54,TOMATO,60,60,9997
54,STRAWBERRY,135,135,9997
54,MELON,262,262,9997
54,EGG,50,50,9997
54,MILK,175,175,9997
54,WOOL,212,212,9997
54,FERTILIZER,100,100,10000
55,WHEAT,27,27,9997
55,CARROT,35,35,9997
55,TOMATO,60,60,9997
55,STRAWBERRY,135,135,9997
55,MELON,262,262,9997
55,EGG,50,50,9997
55,MILK,175,175,9997
55,WOOL,212,212,9997
55,FERTILIZER,100,100,10000
56,WHEAT,27,27,9997
56,CARROT,35,35,9997
56,TOMATO,60,60,9997
56,STRAWBERRY,135,135,9997
56,MELON,262,262,9997
56,EGG,50,50,9997
56,MILK,175,175,9997
56,WOOL,212,212,9997
56,FERTILIZER,100,100,10000
57,WHEAT,27,27,9997
57,CARROT,35,35,9997
57,TOMATO,60,60,9997
57,STRAWBERRY,135,135,9997
57,MELON,262,262,9997
57,EGG,50,50,9997
57,MILK,175,175,9997
57,WOOL,212,212,9997
57,FERTILIZER,100,100,10000
58,WHEAT,27,27,9997
58,CARROT,35,35,9997
58,TOMATO,60,60,9997
58,STRAWBERRY,135,135,9997
58,MELON,262,262,9997
58,EGG,50,50,9997
58,MILK,175,175,9997
58,WOOL,212,212,9997
58,FERTILIZER,100,100,10000
59,WHEAT,27,27,9997
59,CARROT,35,35,9997
59,TOMATO,60,60,9997
59,STRAWBERRY,135,135,9997
59,MELON,262,262,9997
59,EGG,50,50,9997
59,MILK,175,175,9997
59,WOOL,212,212,9997
59,FERTILIZER,100,100,10000
60,WHEAT,27,27,9997
60,CARROT,35,35,9997
60,TOMATO,60,60,9997
60,STRAWBERRY,135,135,9997
60,MELON,262,262,9997
60,EGG,50,50,9997
60,MILK,175,175,9997
60,WOOL,212,212,9997
60,FERTILIZER,100,100,10000
61,WHEAT,27,27,9997
61,CARROT,35,35,9997
61,TOMATO,60,60,9997
61,STRAWBERRY,135,135,9997
61,MELON,262,262,9997
61,EGG,50,50,9997
61,MILK,175,175,9997
61,WOOL,212,212,9997
61,FERTILIZER,100,100,10000
62,WHEAT,27,27,9997
62,CARROT,35,35,9997
62,TOMATO,60,60,9997
62,STRAWBERRY,135,135,9997
62,MELON,262,262,9997
62,EGG,50,50,9997
62,MILK,175,175,9997
62,WOOL,212,212,9997
62,FERTILIZER,100,100,10000
63,WHEAT,27,27,9997
63,CARROT,35,35,9997
63,TOMATO,60,60,9997
63,STRAWBERRY,135,135,9997
63,MELON,262,262,9997
63,EGG,50,50,9997
63,MILK,175,175,9997
63,WOOL,212,212,9997
63,FERTILIZER,100,100,10000
64,WHEAT,27,27,9997
64,CARROT,35,35,9997
64,TOMATO,60,60,9997
64,STRAWBERRY,135,135,9997
64,MELON,262,262,9997
64,EGG,50,50,9997
64,MILK,175,175,9997
64,WOOL,212,212,9997
64,FERTILIZER,100,100,10000
65,WHEAT,27,27,9997
65,CARROT,35,35,9997
65,TOMATO,60,60,9997
65,STRAWBERRY,135,135,9997
65,MELON,262,262,9997
65,EGG,50,50,9997
65,MILK,175,175,9997
65,WOOL,212,212,9997
65,FERTILIZER,100,100,10000
66,WHEAT,27,27,9997
66,CARROT,35,35,9997
66,TOMATO,60,60,9997
66,STRAWBERRY,135,135,9997
66,MELON,262,262,9997
66,EGG,50,50,9997
66,MILK,175,175,9997
66,WOOL,212,212,9997
66,FERTILIZER,100,100,10000
67,WHEAT,27,27,9997
67,CARROT,35,35,9997
67,TOMATO,60,60,9997
67,STRAWBERRY,135,135,9997
67,MELON,262,262,9997
67,EGG,50,50,9997
67,MILK,175,175,9997
67,WOOL,212,212,9997
67,FERTILIZER,100,100,10000
68,WHEAT,27,27,9997
68,CARROT,35,35,9997
68,TOMATO,60,60,9997
68,STRAWBERRY,135,135,9997
68,MELON,262,262,9997
68,EGG,50,50,9997
68,MILK,175,175,9997
68,WOOL,212,212,9997
68,FERTILIZER,100,100,10000
69,WHEAT,27,27,9997
69,CARROT,35,35,9997
69,TOMATO,60,60,9997
69,STRAWBERRY,135,135,9997
69,MELON,262,262,9997
69,EGG,50,50,9997
69,MILK,175,175,9997
69,WOOL,212,212,9997
69,FERTILIZER,100,100,10000
70,WHEAT,27,27,9997
70,CARROT,35,35,9997
70,TOMATO,60,60,9997
70,STRAWBERRY,135,135,9997
70,MELON,262,262,9997
70,EGG,50,50,9997
70,MILK,175,175,9997
70,WOOL,212,212,9997
70,FERTILIZER,100,100,10000
71,WHEAT,27,27,9997
71,CARROT,35,35,9997
71,TOMATO,60,60,9997
71,STRAWBERRY,135,135,9997
71,MELON,262,262,9997
71,EGG,50,50,9997
71,MILK,175,175,9997
71,WOOL,212,212,9997
71,FERTILIZER,100,100,10000
72,WHEAT,27,27,9997
72,CARROT,35,35,9997
72,TOMATO,60,60,9997
72,STRAWBERRY,135,135,9997
72,MELON,262,262,9997
72,EGG,50,50,9997
72,MILK,175,175,9997
72,WOOL,212,212,9997
72,FERTILIZER,100,100,10000
73,WHEAT,27,27,9995
73,CARROT,35,35,9996
73,TOMATO,60,60,9996
73,STRAWBERRY,139,135,9995
73,MELON,264,262,9996
73,EGG,50,50,9995
73,MILK,177,175,9996
73,WOOL,214,212,9996
73,FERTILIZER,100,100,10000
74,WHEAT,27,27,9995
74,CARROT,35,35,9996
74,TOMATO,60,60,9996
74,STRAWBERRY,139,139,9995
74,MELON,264,264,9996
74,EGG,50,50,9995
74,MILK,177,177,9996
74,WOOL,214,214,9996
74,FERTILIZER,100,100,10000
75,WHEAT,27,27,9995
75,CARROT,35,35,9996
75,TOMATO,60,60,9996
75,STRAWBERRY,139,139,9995
75,MELON,264,264,9996
75,EGG,50,50,9995
75,MILK,177,177,9996
75,WOOL,214,214,9996
75,FERTILIZER,100,100,10000
76,WHEAT,27,27,9995
76,CARROT,35,35,9996
76,TOMATO,60,60,9996
76,STRAWBERRY,139,139,9995
76,MELON,264,264,9996
76,EGG,50,50,9995
76,MILK,177,177,9996
76,WOOL,214,214,9996
76,FERTILIZER,100,100,10000
77,WHEAT,27,27,9994
77,CARROT,35,35,9996
77,TOMATO,60,60,9996
77,STRAWBERRY,141,139,9994
77,MELON,264,264,9996
77,EGG,50,50,9994
77,MILK,177,177,9996
77,WOOL,214,214,9996
77,FERTILIZER,100,100,10000
78,WHEAT,27,27,9994
78,CARROT,35,35,9996
78,TOMATO,60,60,9996
78,STRAWBERRY,141,141,9994
78,MELON,264,264,9996
78,EGG,50,50,9994
78,MILK,177,177,9996
78,WOOL,214,214,9996
78,FERTILIZER,100,100,10000
79,WHEAT,27,27,9994
79,CARROT,35,35,9996
79,TOMATO,60,60,9996
79,STRAWBERRY,141,141,9994
79,MELON,264,264,9996
79,EGG,50,50,9994
79,MILK,177,177,9996
79,WOOL,214,214,9996
79,FERTILIZER,100,100,10000
80,WHEAT,27,27,9994
80,CARROT,35,35,9996
80,TOMATO,60,60,9996
80,STRAWBERRY,141,141,9994
80,MELON,264,264,9996
80,EGG,50,50,9994
80,MILK,177,177,9996
80,WOOL,214,214,9996
80,FERTILIZER,100,100,10000
81,WHEAT,28,27,9993
81,CARROT,35,35,9996
81,TOMATO,60,60,9996
81,STRAWBERRY,142,141,9993
81,MELON,264,264,9996
81,EGG,50,50,9993
81,MILK,177,177,9996
81,WOOL,214,214,9996
81,FERTILIZER,100,100,10000
82,WHEAT,28,28,9993
82,CARROT,35,35,9996
82,TOMATO,60,60,9996
82,STRAWBERRY,142,142,9993
82,MELON,264,264,9996
82,EGG,50,50,9993
82,MILK,177,177,9996
82,WOOL,214,214,9996
82,FERTILIZER,100,100,10000
83,WHEAT,28,28,9993
83,CARROT,35,35,9996
83,TOMATO,60,60,9996
83,STRAWBERRY,142,142,9993
83,MELON,264,264,9996
83,EGG,50,50,9993
83,MILK,177,177,9996
83,WOOL,214,214,9996
83,FERTILIZER,100,100,10000
84,WHEAT,28,28,9993
84,CARROT,35,35,9996
84,TOMATO,60,60,9996
84,STRAWBERRY,142,142,9993
84,MELON,264,264,9996
84,EGG,50,50,9993
84,MILK,177,177,9996
84,WOOL,214,214,9996
84,FERTILIZER,100,100,10000
85,WHEAT,28,28,9992
85,CARROT,35,35,9996
85,TOMATO,60,60,9996
85,STRAWBERRY,144,142,9992
85,MELON,264,264,9996
85,EGG,50,50,9992
85,MILK,177,177,9996
85,WOOL,214,214,9996
85,FERTILIZER,100,100,10000
86,WHEAT,28,28,9992
86,CARROT,35,35,9996
86,TOMATO,60,60,9996
86,STRAWBERRY,144,144,9992
86,MELON,264,264,9996
86,EGG,50,50,9992
86,MILK,177,177,9996
86,WOOL,214,214,9996
86,FERTILIZER,100,100,10000
87,WHEAT,28,28,9992
87,CARROT,35,35,9996
87,TOMATO,60,60,9996
87,STRAWBERRY,144,144,9992
87,MELON,264,264,9996
87,EGG,50,50,9992
87,MILK,177,177,9996
87,WOOL,214,214,9996
87,FERTILIZER,100,100,10000
88,WHEAT,28,28,9992
88,CARROT,35,35,9996
88,TOMATO,60,60,9996
88,STRAWBERRY,144,144,9992
88,MELON,264,264,9996
88,EGG,50,50,9992
88,MILK,177,177,9996
88,WOOL,214,214,9996
88,FERTILIZER,100,100,10000
89,WHEAT,28,28,9991
89,CARROT,35,35,9996
89,TOMATO,60,60,9996
89,STRAWBERRY,145,144,9991
89,MELON,264,264,9996
89,EGG,51,50,9991
89,MILK,177,177,9996
89,WOOL,214,214,9996
89,FERTILIZER,100,100,10000
90,WHEAT,28,28,9991
90,CARROT,35,35,9996
90,TOMATO,60,60,9996
90,STRAWBERRY,145,145,9991
90,MELON,264,264,9996
90,EGG,51,51,9991
90,MILK,177,177,9996
90,WOOL,214,214,9996
90,FERTILIZER,100,100,10000
91,WHEAT,28,28,9991
91,CARROT,35,35,9996
91,TOMATO,60,60,9996
91,STRAWBERRY,145,145,9991
91,MELON,264,264,9996
91,EGG,51,51,9991
91,MILK,177,177,9996
91,WOOL,214,214,9996
91,FERTILIZER,100,100,10000
92,WHEAT,28,28,9991
92,CARROT,35,35,9996
92,TOMATO,60,60,9996
92,STRAWBERRY,145,145,9991
92,MELON,264,264,9996
92,EGG,51,51,9991
92,MILK,177,177,9996
92,WOOL,214,214,9996
92,FERTILIZER,100,100,10000
93,WHEAT,28,28,9990
93,CARROT,35,35,9996
93,TOMATO,60,60,9996
93,STRAWBERRY,147,145,9990
93,MELON,264,264,9996
93,EGG,51,51,9990
93,MILK,177,177,9996
93,WOOL,214,214,9996
93,FERTILIZER,100,100,10000
94,WHEAT,28,28,9990
94,CARROT,35,35,9996
94,TOMATO,60,60,9996
94,STRAWBERRY,147,147,9990
94,MELON,264,264,9996
94,EGG,51,51,9990
94,MILK,177,177,9996
94,WOOL,214,214,9996
94,FERTILIZER,100,100,10000
95,WHEAT,28,28,9990
95,CARROT,35,35,9996
95,TOMATO,60,60,9996
95,STRAWBERRY,147,147,9990
95,MELON,264,264,9996
95,EGG,51,51,9990
95,MILK,177,177,9996
95,WOOL,214,214,9996
95,FERTILIZER,100,100,10000
96,WHEAT,28,28,9990
96,CARROT,35,35,9996
96,TOMATO,60,60,9996
96,STRAWBERRY,147,147,9990
96,MELON,264,264,9996
96,EGG,51,51,9990
96,MILK,177,177,9996
96,WOOL,214,214,9996
96,FERTILIZER,100,100,10000
97,WHEAT,28,28,9988
97,CARROT,35,35,9995
97,TOMATO,61,60,9995
97,STRAWBERRY,149,147,9988
97,MELON,266,264,9995
97,EGG,51,51,9988
97,MILK,179,177,9995
97,WOOL,215,214,9995
97,FERTILIZER,100,100,10000
98,WHEAT,28,28,9988
98,CARROT,35,35,9995
98,TOMATO,61,61,9995
98,STRAWBERRY,149,149,9988
98,MELON,266,266,9995
98,EGG,51,51,9988
98,MILK,179,179,9995
98,WOOL,215,215,9995
98,FERTILIZER,100,100,10000
99,WHEAT,28,28,9988
99,CARROT,35,35,9995
99,TOMATO,61,61,9995
99,STRAWBERRY,149,149,9988
99,MELON,266,266,9995
99,EGG,51,51,9988
99,MILK,179,179,9995
99,WOOL,215,215,9995
99,FERTILIZER,100,100,10000
100,WHEAT,28,28,9988
100,CARROT,35,35,9995
100,TOMATO,61,61,9995
100,STRAWBERRY,149,149,9988
100,MELON,266,266,9995
100,EGG,51,51,9988
100,MILK,179,179,9995
100,WOOL,215,215,9995
100,FERTILIZER,100,100,10000
101,WHEAT,29,28,9987
101,CARROT,35,35,9995
101,TOMATO,61,61,9995
101,STRAWBERRY,150,149,9987
101,MELON,266,266,9995
101,EGG,51,51,9987
101,MILK,179,179,9995
101,WOOL,215,215,9995
101,FERTILIZER,100,100,10000
102,WHEAT,29,29,9987
102,CARROT,35,35,9995
102,TOMATO,61,61,9995
102,STRAWBERRY,150,150,9987
102,MELON,266,266,9995
102,EGG,51,51,9987
102,MILK,179,179,9995
102,WOOL,215,215,9995
102,FERTILIZER,100,100,10000
103,WHEAT,29,29,9987
103,CARROT,35,35,9995
103,TOMATO,61,61,9995
103,STRAWBERRY,150,150,9987
103,MELON,266,266,9995
103,EGG,51,51,9987
103,MILK,179,179,9995
103,WOOL,215,215,9995
103,FERTILIZER,100,100,10000
104,WHEAT,29,29,9987
104,CARROT,35,35,9995
104,TOMATO,61,61,9995
104,STRAWBERRY,150,150,9987
104,MELON,266,266,9995
104,EGG,51,51,9987
104,MILK,179,179,9995
104,WOOL,215,215,9995
104,FERTILIZER,100,100,10000
105,WHEAT,29,29,9986
105,CARROT,35,35,9995
105,TOMATO,61,61,9995
105,STRAWBERRY,151,150,9986
105,MELON,266,266,9995
105,EGG,51,51,9986
105,MILK,179,179,9995
105,WOOL,215,215,9995
